2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /assets/Tooltip-DarvsoOV.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/marketPhase-CFwblj6S.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /assets/Card-BtBNoxN_.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /assets/vendor-markdown-D_i7slVd.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /assets/Input-DwIIjZCE.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/EmptyState-6Bq_dFYg.js HTTP/1.1" 200
2026-07-19 10:36:12 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /api/v1/alphasift/status HTTP/1.1" 200
2026-07-19 10:36:13 | INFO     | src.services.task_queue | src/services/task_queue.py:202 | [TaskQueue] 初始化完成，最大并发: 3
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: bottom_volume (bottom_volume.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: box_oscillation (box_oscillation.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: bull_trend (bull_trend.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: chan_theory (chan_theory.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: dragon_head (dragon_head.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: emotion_cycle (emotion_cycle.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: event_driven (event_driven.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: expectation_repricing (expectation_repricing.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: growth_quality (growth_quality.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: hot_theme (hot_theme.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: ma_golden_cross (ma_golden_cross.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: one_yang_three_yin (one_yang_three_yin.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: shrink_pullback (shrink_pullback.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: volume_breakout (volume_breakout.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:300 | Loaded skill from YAML: wave_theory (wave_theory.yaml)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: bottom_volume (底部放量)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: box_oscillation (箱体震荡)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: bull_trend (默认多头趋势)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: chan_theory (缠论)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: dragon_head (龙头策略)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: emotion_cycle (情绪周期)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: event_driven (事件驱动)
